povertyline,headcount,povertygap,population,mean,popshr,weight,welfare,cumwelf,q,countrycode,cty,n,nq
6.953125,0.3788289,0.1503281,49648685,438.572,0.0031619000000000508,156984.17710150252,6.928785105474483,78881563.86631812,8,COL,COL,5.65,100
7.003125,0.3822247,0.1519712,49648685,438.572,0.003395799999999949,168597.00452299745,6.979037984421878,80058208.76494387,8,COL,COL,5.65,100
7.053125,0.385293,0.1536132,49648685,438.572,0.003068300000000024,152337.06018550118,7.030781601375477,81129257.36490372,8,COL,COL,5.65,100
7.103125,0.3883097,0.1552548,49648685,438.572,0.0030166999999999833,149775.18803949916,7.0777661641860075,82189331.12304428,8,COL,COL,5.65,100
7.153125,0.3915997,0.1568946,49648685,438.572,0.003290000000000015,163344.17365000074,7.129736132218987,83353931.979904145,8,COL,COL,5.65,100
7.203125,0.3951577,0.1585372,49648685,438.572,0.0035580000000000056,176650.02123000027,7.175975442664252,84621568.19419675,8,COL,COL,5.65,100
7.253125,0.398143,0.1601782,49648685,438.572,0.002985300000000024,148216.2193305012,7.229223507687665,85693056.3712014,8,COL,COL,5.65,100
7.303125,0.4012665,0.1618186,49648685,438.572,0.0031235000000000013,155077.66759750005,7.276934428525727,86821546.38963711,9,COL,COL,5.65,100
7.353125,0.404082,0.1634559,49648685,438.572,0.002815499999999971,139785.87261749856,7.329372003196798,87846089.05084224,9,COL,COL,5.65,100
7.403125,0.4071613,0.1650914,49648685,438.572,0.003079300000000007,152883.19572050034,7.37827976325785,88974104.039969,9,COL,COL,5.65,100
7.453125,0.410813,0.1667264,49648685,438.572,0.00365169999999998,181302.103014499,7.430569922912552,90321281.99358933,9,COL,COL,5.65,100
7.503125,0.4140454,0.168363,49648685,438.572,0.003232400000000024,160484.4093940012,7.479834449634857,91521678.80760388,9,COL,COL,5.65,100
7.553125,0.4169978,0.169999,49648685,438.572,0.002952399999999966,146582.77759399833,7.52846963487337,92625222.7977157,9,COL,COL,5.65,100
7.603125,0.4196814,0.1716329,49648685,438.572,0.002683600000000008,133237.2110660004,7.575995048628782,93634627.24904482,9,COL,COL,5.65,100
7.653125,0.4223762,0.1732628,49648685,438.572,0.002694799999999997,133793.27633799985,7.62662825163279,94655018.83024272,9,COL,COL,5.65,100
7.703125,0.4250714,0.1748888,49648685,438.572,0.0026952000000000087,133813.13581200043,7.677297139358715,95682342.03502081,9,COL,COL,5.65,100
7.753125,0.4278153,0.1765106,49648685,438.572,0.0027439000000000213,136231.02677150106,7.7294768623128265,96735336.60438025,9,COL,COL,5.65,100
7.803125,0.4309633,0.1781312,49648685,438.572,0.003147999999999984,156294.06037999922,7.777550230305062,97950921.50968403,9,COL,COL,5.65,100
7.853125,0.4337879,0.1797496,49648685,438.572,0.0028246000000000104,140237.67565100052,7.8290888532888765,99048854.73293442,9,COL,COL,5.65,100
7.903125,0.4364553,0.1813656,49648685,438.572,0.0026673999999999864,132432.90236899932,7.877056543825583,100092036.19315796,9,COL,COL,5.65,100
7.953125,0.4393116,0.1829779,49648685,438.572,0.002856300000000034,141811.53896550168,7.929199488849052,101216488.17543611,9,COL,COL,5.65,100
8.003125,0.442311,0.1845892,49648685,438.572,0.0029993999999999854,148916.26578899927,7.976869644762232,102404373.81561972,9,COL,COL,5.65,100
8.053125,0.4450522,0.1861983,49648685,438.572,0.002741199999999999,136096.97532199995,8.026788564314813,103496795.46077219,9,COL,COL,5.65,100
8.103125,0.4475849,0.1878026,49648685,438.572,0.002532699999999999,125745.22449949995,8.08056076519164,104512887.38827306,9,COL,COL,5.65,100
8.153125,0.4501805,0.1894036,49648685,438.572,0.0025955999999999757,128868.1267859988,8.12845319964535,105560385.92577901,10,COL,COL,5.65,100
8.203125,0.4532223,0.1910026,49648685,438.572,0.003041800000000039,151021.37003300193,8.177498109671989,106795362.89374396,10,COL,COL,5.65,100
8.253125,0.4561735,0.1926003,49648685,438.572,0.002951199999999987,146523.19917199935,8.22770049047842,108000911.89143789,10,COL,COL,5.65,100
8.303125,0.4597598,0.1941978,49648685,438.572,0.0035862999999999867,178055.07901549933,8.279261355714727,109475076.42631964,10,COL,COL,5.65,100
8.353125,0.4626444,0.1957965,49648685,438.572,0.002884600000000015,143216.59675100073,8.326764001074768,110667607.22850232,10,COL,COL,5.65,100
8.403125,0.4656411,0.1973929,49648685,438.572,0.0029966999999999633,148782.21433949817,8.378980524410098,111914250.50483158,10,COL,COL,5.65,100
